etp_id,desc,citation,editor,type,location,from,to,text,notes,bibliography
ETP 196,kyathos (ceramic),BdA 82 (1993) 1-10 (tav. 1-19),Maria Antonietta Rizzo - Mauro Cristofani,Dedications,Caere,-650,-650,[mi]ni venel paiθina[s mu]luvnice,"The verb <b>[mu]luvnice</b> should be corrected to <b>[mu]luv(a)nice</b>.

Bibliography: 
<ul>
<li>
Rizzo, Maria Antonietta &amp;amp; Mauro Cristofani. 1993. Un kyathos e altri vasi iscriti dale tombe orientalizzanti di San Paolo a Cerveteri. <i>Bolletino d’Arte del Ministro per i Beni Culturali e Ambientali (BdA)</i>82.1-10.</li>
</ul>",
ETP 197,olla (ceramic),"BdA 82 (1993) 1-10 (tav. 20, 24)",Maria Antonietta Rizzo,Proprietary Texts,Caere,-650,-625,mi larθia tarnas,,"<ul>
<li>
Rizzo, Maria Antonietta &amp;amp; Mauro Cristofani. 1993. Un kyathos e altri vasi iscriti dale tombe orientalizzanti di San Paolo a Cerveteri. <i>Bolletino d’Arte del Ministro per i Beni Culturali e Ambientali (BdA)</i> 82.1-10.</li>
</ul>"
ETP 198,olla (ceramic),BdA (1993) 82.1-10 (tav. 22-23),Maria Antonietta Rizzo,Proprietary Texts,Caere,-650,-625,mi larθia tarinas,,"<ul>
<li>
Rizzo, Maria Antonietta &amp;amp; Mauro Cristofani. 1993. Un kyathos e altri vasi iscriti dale tombe orientalizzanti di San Paolo a Cerveteri. <i>Bolletino d’Arte del Ministro per i Beni Culturali e Ambientali (BdA)</i> 82.1-10.</li>
</ul>"
ETP 199,cinerary urn (ceramic),SE 61 (1996) REE 1 (tav. XXXIX),Helmut Rix,Funerary Texts,Clusium,-100,-100,"ve : ane : vezra : laurstia
l","The inscription was painted on the upper border of the cask of the urn. The final letter of the inscription, <b>l</b>, was painted in the left margin.",
ETP 200,cippus (stone),SE 61 (1996) REE 2 (tav. XXXIX),Pietro Tamburini,Funerary Texts,Volsinii,-200,-100,vipe : acries,,
ETP 201,fragment of bowl (ceramic),SE 61 (1996) REE 3 (tav. XL),Paola Giulinelli,Proprietary Texts,Ager Faliscus (Falerii),-400,-300,cnaviies mi,<b> Nu</b> and <b>mu</b> were written retrograde.,
ETP 202,fragment of bowl (ceramic),SE 61 (1996) REE 4 (tav. XL),Paola Giulinelli,Proprietary Texts,Ager Faliscus (Corchiano),-300,-100,arnθial ur[ – – – ],"The editor suggests that the family name is to be restored as <b>ur[inates]</b>, a name that is well attested north of the <i>Ager Faliscus</i> in the Hellenistic period.",
ETP 203,fragment of bowl (ceramic),SE 61 (1996) REE 7 (tav. XLI),Horst Blanck,Proprietary Texts,Campania (Pompeii),-700,-480,luvcie[ – – – ],,
ETP 204,Attic kylix (ceramic),SE 61 (1996) REE 8 (tav. XLI),Mauro Cristofani,Proprietary Texts,Campania (Pontecagnano),-475,-450,ani,The inscription was incised in dextroverse direction.,
ETP 205,bowl (ceramic),SE 61 (1996) REE 9 (tav. XLI),Mauro Cristofani,Proprietary Texts,Campania (Pontecagnano),-400,-400,aveles hanpnas,,
ETP 206,cup (ceramic),SE 61 (1996) REE 10 (tav. XLII),Gianni Bailo Modesti,Proprietary Texts,Campania (Pontecagnano),-600,-550,mi nanes,,
ETP 207,cinerary urn,SE 61 (1996) REE 12,Dominique Briquel,Funerary Texts,Unknown,-480,50,θana [p]ercnei salias,(a) was painted in black along the border of the cask of the urn. (b) was incised over it. The family name of the deceased in (a) could also be <b> re[m]n[i]</b>. The urn is of a type common at Chiusi.,
ETP 208,cup (ceramic),SE 61 (1996) REE 15,Alessandro Naso,Proprietary Texts,Unknown,-630,-600,mi larθus,,
ETP 209,askos (ceramic),SE 61 (1996) REE 16 (tav. ),Alessandro Naso,Proprietary Texts,Unknown,-650,-600,mi venelus σiθurnas,,
ETP 210,helmet (bronze),SE 61 (1996) REE 22 (tav. ),Marina Martelli,Other/Unclear Texts,Unknown,-500,-470,cap,"According to the editor, text (b) records the first part of the name of the owner the helmet. Text (a) may be the numeral 6.",
ETP 211,Attic cup (ceramic),SE 61 (1996) REE 23 (tav. XLIV),Maristella Pandolfini Angeletti,Proprietary Texts,Unknown,-500,-450,venel,,
ETP 212,kylix (ceramic),SE 61 (1996) REE 24 (tav. XLV),Maristella Pandolfini Angeletti,Proprietary Texts,Unknown,-500,-450,atana,,
ETP 213,lintel of tomb (stone),AnnMuseoFaina (1990) 4.79,Carlo de Simone,Funerary Texts,Volsinii (Orvieto) archaic,-9999,9999,[mi] aranθia lapanas,,"<ul>
<li>
De Simone, Carlo. 1990. L'epigrafia etrusca arcaica di Orvieto. <i>AnnMuseoFaina</i> 4.75-79.</li>
</ul>"
ETP 214,lintel of tomb (stone),AnnMuseoFaina (1990) 4.79,Carlo de Simone,Funerary Texts,Volsinii (Orvieto) archaic,-9999,9999,mi aveles metienas,,"<ul>
<li>
De Simone, Carlo. 1990. L'epigrafia etrusca arcaica di Orvieto. <i>AnnMuseoFaina</i> 4.75-79.</li>
</ul>"
ETP 215,fragment of vase (ceramic),"Opuscula Romana 24 (1999) 64, 1 (Fig. 3)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),-600,-550,mi urqenas,,"<ul><li>
Colonna, Giovanni &amp;amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. Opuscula Romana 24.63-78.</li></ul>"
ETP 216,fragment of vase (ceramic),"Opuscula Romana 24 (1999) 65, 3 (Fig. 3)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),-550,-500,mi larza,,"<ul>
<li>Colonna, Giovanni &amp;amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. <i>Opuscula Romana</i> 24.63-78.</li>
</ul>"
ETP 217,fragment of bowl (ceramic),"Opuscula Romana 24 (1999) 65, 6 (Fig. 3)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),-700,-480,mi xx[ – – – ],Of letters three and four only the vertical bars are visible. Colonna proposes to read <b>mi ti[tes – – – ]</b>.,"<ul>
<li>Colonna, Giovanni &amp;amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. <i>Opuscula Romana</i> 24.63-78.</li>
</ul>"
ETP 218,fragment of bowl (ceramic),"Opuscula Romana 24 (1999) 65, 7 (Fig. 3)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Other/Unclear Texts,Ager Tarquiniensis (San Giovenale),-700,-480,[ – – – ]alix[ – – – ],Colonna notes that the surviving portion of the text may be restored as <b>[ – – – ]alik[e – – – ]</b>.,"<ul>
<li>Colonna, Giovanni &amp;amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. <i>Opuscula Romana</i> 24.63-78.</li>
</ul>"
ETP 219,fragment of bowl (ceramic),"Opuscula Romana 24 (1999) 65, 8 (Fig. 3)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),-700,-480,mi vi[ – – – ],The topmost portions of four letters are visible. The editor proposes to read <b>mi vi[pies – – – ]</b>.,"<ul>
<li>Colonna, Giovanni &amp;amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. <i>Opuscula Romana</i> 24.63-78.</li>
</ul>"
ETP 220,fragment of kyathos (ceramic),"Opuscula Romana 24 (1999) 65, 11 (Fig. 3)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),-700,-480,"lai 
    [ – – – ]",The text is perhaps to be restored as the personal name lai[ve] or the family name lai[venas].,"<ul>
<li>Colonna, Giovanni &amp;amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. <i>Opuscula Romana</i> 24.63-78.</li>
</ul>"
ETP 221,bowl (ceramic),"Opuscula Romana 24 (1999) 66, 15 (Fig. 5)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),-550,-500,mi fasθiia alσiia,,"<ul>
<li>Colonna, Giovanni &amp;amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. <i>Opuscula Romana</i> 24.63-78.</li>
</ul>"
ETP 222,fragment of kantharos (ceramic),"Opuscula Romana 24 (1999) 66, 16 (Fig. 5)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Other/Unclear Texts,Ager Tarquiniensis (San Giovenale),-600,-550,[ – – – ]xesiiala,The upper oblique stroke of the first letter is visible. <b>v</b> or <b>p</b> are possible.,"<ul>
<li>Colonna, Giovanni &amp;amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. <i>Opuscula Romana</i> 24.63-78.</li>
</ul>"
ETP 223,fragment of kantharos (ceramic),"Opuscula Romana 24 (1999) 66, 17 (Fig. 5)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Other/Unclear Texts,Ager Tarquiniensis (San Giovenale),-550,-500,mul,"The text was inscribed vertically, from high to low.","<ul>
<li>Colonna, Giovanni &amp;amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. <i>Opuscula Romana</i> 24.63-78.</li>
</ul>"
ETP 224,fragment of kantharos (ceramic),"Opuscula Romana 24 (1999) 66, 37 (Fig. 5)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),-500,-500,mi l[ . . . . . ]aruniθla,"In the lacuna, there is space for four or five letters. Colonna proposes to restore the text as: <b>mi l[ursl l]aruniθla</b>.","<ul>
<li>Colonna, Giovanni &amp;amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. <i>Opuscula Romana</i> 24.63-78.</li>
</ul>"
ETP 225,fragment of cup (ceramic),SE 64 (2001) REE 2 (tav. XXXVIII),Stefano Bruni,Other/Unclear Texts,Pisa,-400,-300,ven,,
ETP 226,cinerary urn (travertine),SE 64 (2001) REE 4,Giulio Paolucci,Funerary Texts,Clusium,-480,50,lθ  · carta · rusinal,,
ETP 227,cinerary urn (travertine),SE 64 (2001) REE 5,Giulio Paolucci,Funerary Texts,Clusium,-480,50,"lθ  · carta · lθ 
    caunal",,
ETP 228,cinerary urn (travertine),SE 64 (2001) REE 7,Giulio Paolucci,Funerary Texts,Clusium,-480,50,θana . velθuria : uvial,,
ETP 229,cinerary urn (travertine),SE 64 (2001) REE 8 (tav. XXXVIII),Giulio Paolucci,Funerary Texts,Clusium,-200,-100,lθ : purni : lθ : petrual :,,
ETP 230,cinerary urn (travertine),SE 64 (2001) REE 9 (tav. XXXVIII),Giulio Paolucci,Funerary Texts,Clusium,-480,50,"θa : titi : parfilunia
    melutaσa",,
ETP 231,cinerary urn (travertine),SE 64 (2001) REE 10 (tav. XXXVIII),Giulio Paolucci,Funerary Texts,Clusium,-480,50,cae : seiante : au : tutnal,,
ETP 232,cover of cinerary urn (travertine),SE 64 (2001) REE 11 (tav. XXXVIII),Giulio Paolucci,Funerary Texts,Clusium,-200,-200,larθ : laucane,,
ETP 233,cinerary urn (ceramic),SE 64 (2001) REE 13 (tav. XXXIX),Giulio Paolucci,Funerary Texts,Clusium,-480,50,lθ : v [<i>vacat</i>] etis : herinial [:],,
ETP 234,cover of cinerary urn (travertine),SE 64 (2001) REE 15 (tav. XXXIX),Giulio Paolucci,Funerary Texts,Ager Clusinus (Camporsevoli),-480,50,vl · σ[eθ]ṛna · ce [<i>vacat</i>] lias,The sibilants /s/ and /š/ were spelled as <i>sigma</i>.,
ETP 235,cover of cinerary urn (travertine),SE 64 (2001) REE 16 (XXXIX),Giulio Paolucci,Funerary Texts,Ager Clusinus (Camporsevoli),-480,50,θana : cracia : seθrnaσa,The sibilants /s/ and /š/ were written as <i>sigma</i>.,
ETP 236,cover of cinerary urn (travertine),SE 64 (2001) REE 17 (tav. XL),Giulio Paolucci,Funerary Texts,Ager Clusinus (Camporsevoli),-480,50,aθ : seθrna : cracias,,
ETP 237,cover of cinerary urn (travertine),SE 64 (2001) REE 18 (tav. XL),Giulio Paolucci,Funerary Texts,Ager Clusinus (Camporsevoli),-480,50,aθ : σeθrna : clanti,,
ETP 238,bronze statue,SE 56 (1991)  REE 69 (tav. LVIII),Mauro Cristofani,Dedications,Volcii,-300,-250,"ecn turce : pivi
    patrus : unial
    huinθnaias",The inscription was incised from bottom (line 1) to top (line 3).,
ETP 239,small bronze altar or base,SE 56 (1991)  REE 82 (tav. LVIII),Enrico Benelli,Dedications,Volcii,-300,-300,"truφun · peθunus · v · lav
    lurmicla · turce · XXX · cver",The inscription was incised on the four faces of the base.,
ETP 240,slab (sandstone),SE 64 (2001) REE 19 (tav. XL),Silvia Vilucchi,Funerary Texts,Ager Saenensis (Pienza),-100,-0,"vel · ber
    comsn
    a · velosa {i}",The inscription was written in dextroverse direction in Latin letterforms. <b>vel</b> is twice written as a ligature. The <b>o</b> of <b>velosa</b> is very small. It appears to have been erroneously omitted and later inserted between <b>l</b> and <b>s</b>.,
ETP 241,fragment of amphora (ceramic),SE 64 (2001) REE 22 (tav. XLI),Antonella Romualdi,Other/Unclear Texts,Populonia,-400,-300,teace,,
ETP 242,bowl (ceramic),SE 64 (2001) REE 23 (tav. XL),Adriano Maggiani,Proprietary Texts,Isola d’Elba (Ilva),-200,-100,[l]arθ petrus,,
ETP 243,cippus (nenfro),SE 64 (2001) REE 26 (tav. XLI),Massimo Morandi,Funerary Texts,Tarquinia,-300,-280,"numsi : 
    larθi",,
ETP 244,cippus (nenfro),SE 64 (2001) REE 27 (tav. XLI),Massimo Morandi,Funerary Texts,Tarquinia,-260,-240,"velfras · 
    laris · 
    ne","Line 3: <b>ne</b> is an abbreviation for the metronymic. The editor suggests <b>ne(vtnial)</b>, <b>ne(mtinal)</b>, or <b>ne(vrnial)</b>.",
ETP 245,oinochoe (silver),SE 64 (2001) REE 30 (tav. XLII),Franceso Buranelli - Maurizio Sannibale,Proprietary Texts,Caere,-675,-650,[larθ]ia,The inscription could also be restored with the first personal pronoun: <b>mi [larθ]ia</b>.,
ETP 246,fragment of kantharos (bucchero),SE 64 (2001) REE 32 (tav. XLIII),Daniele Maras,Proprietary Texts,Caere,-600,-550,aanθ trutana,Inscription (b): The first word is to be corrected to <b>a(r)anθ</b>.,
ETP 247,Attic kylix (ceramic),SE 64 (2001) REE 36 (tav. XLIV),Daniele Maras,Religious Texts,Pyrgi,-500,-450,mi : σuris : cavaθas,The palatal sibilant /š/ is represented by a 4-bar sigma.,
ETP 248,cup (ceramic),SE 64 (2001) REE 38 (tav. XLIV),Daniele Maras,Religious Texts,Pyrgi,-500,-480,: lu{v}cies,Punctuation is in the form of three points. <b>e</b> is corrected to <b>v</b>.,
ETP 249,kylix (ceramic),SE 64 (2001) REE 39 (tav. XLIV),Daniele Maras,Religious Texts,Pyrgi,-500,-475,larzas maias,The editor suggests that this inscription could be segmented as <b>larz asmaias</b>. There are no <i>comparanda</i> for a family name of this form.,
ETP 250,kylix (ceramic),SE 64 (2001) REE 40 (tav. XLIV),Daniele Maras,Religious Texts,Pyrgi,-500,-475,"ause
    xxe","Giovanni Colonna, in an addedum to SE (2001) REE 40, proposes to read <b>alsel(i)e</b> or possibly  <b>ausel(i)e</b>, the later recalling the Roman family name <i>Aurelius</i>.",
ETP 251,fragment of skyphos (ceramic),SE 64 (2001) REE 43 (tav. XLV),Daniele Maras,Religious Texts,Pyrgi,-500,-450,mi menervas,,
ETP 252,fragment of Attic kylix (ceramic),SE 64 (2001) REE 50 (tav. XLV),Daniele Maras,Religious Texts,Pyrgi,-500,-450,cne[i]ve mini[ – – – ],,
ETP 253,Attic krater (ceramic),SE 64 (2001) REE 37 (tav. XLIV),Daniele Maras,Religious Texts,Pyrgi,-480,-470,mi fuflunusra,,
ETP 254,Attic kylix (ceramic),SE 64 (2001) REE 41 (tav. XLV),Daniele Maras,Dedications,Pyrgi,-500,-450,itan tu[r]uke e[ – – – ],,
ETP 255,fragment of Attic kylix (ceramic),SE 64 (2001) REE 44 (tav. XLV),Daniele Maras,Religious Texts,Pyrgi,-500,-450,aθi[ – – – ],,
ETP 256,fragment of Attic plate (ceramic),SE 64 (2001) REE 52 (tav. XLVI),Daniele Maras,Religious Texts,Pyrgi,-500,-400,[ – – – ]cavaθ[ – – – ],,
ETP 257,fragment of Attic skyphos (ceramic),SE 64 (2001) REE 53 (tav. XLVI),Daniele Maras,Religious Texts,Pyrgi,-500,-400,[ mi ca]vaθas,,
ETP 258,fragment of Attic skyphos (ceramic),SE 64 (2001) REE 55 (tav. XLVI),Daniele Maras,Religious Texts,Pyrgi,-500,-400,cavaθ[as : ]eca,,
ETP 259,fragment of Attic cup (ceramic),SE 64 (2001) REE 56 (tav. XLVI),Daniele Maras,Religious Texts,Pyrgi,-500,-400,[ – – – cav]aθas [ – – – ],,
ETP 260,fragmentary Attic glaux (ceramic),SE 64 (2001) REE 57 (tav. XLVI),Daniele Maras,Religious Texts,Pyrgi,-450,-450,m[i] θane tuvθi,,
ETP 261,fragment of Attic skyphos (ceramic),SE 64 (2001) REE 58 (tav. XLVI),Daniele Maras,Religious Texts,Pyrgi,-450,-400,mi · cavθas,,
ETP 262,fragment of basin (impasto),SE 64 (2001) REE 59 (tav. XLVII),Daniele Maras,Religious Texts,Pyrgi,-450,-400,[m]i ca[vθas],,
ETP 263,fragment of cup (ceramic),SE 64 (2001) REE 62 (tav. XLVII),Daniele Maras,Religious Texts,Pyrgi,-300,-300,ve[ . ]is,The editor suggests that the inscription be restored as <b>vei[v]is</b>.,
ETP 264,nameplate (bronze),SE 64 (2001) REE 63 (tav. XLVIII),Daniele Maras,Religious Texts,Pyrgi,-300,-300,lapse,The nameplate was affixed to the base of an offering of some type. See also inscription ETP 265.,
ETP 265,nameplate (bronze),SE 64 (2001) REE 64 (tav. XLVIII),Daniele Maras,Religious Texts,Pyrgi,-300,-300,lapse,The nameplate was affixed to an offering of some type. See inscription ETP 264.,
ETP 266,fragment of chalice (bucchero),SE 64 (2001) REE 97 (tav. L),Barbara Belelli Marchesini,Other/Unclear Texts,Veii,-500,-500,[ – – – ]i menra ak[ – – – ],"In an addendum to REE 97 (pp. 425-426), Giovanni Colonna proposes to restore the inscription as <b>[ min]i menra ak[asce]</b>.  For details, the reader is referred to pp. 425-426.",
ETP 267,cup (ceramic),SE 64 (2001) REE 98 (tav. L),Barbara Belelli Marchesini,Religious Texts,Veii,-300,-300,lanies,,
ETP 268,wall (tufa),SE 64 (2001) REE 99 (tav. L),Massimiliano Munzi,Other/Unclear Texts,Ager Veientanus (La Cavetta),-500,-400,larθ eθrisna,The inscription was incised on the face of a roadway sliced through tufaceous rock. The name may be the name of the public official responsible for the work.,
ETP 269,kantharos (bucchero),SE 64 (2001) REE 102 (tav. LI),Giovanni Colonna,Dedications,Origin Unknown (South),-625,-600,mini muluvanice tetana ve.l.ka.s.na.s. veleliiasi,The inscription was incised in dextroverse direction.,
ETP 270,kantharos (bucchero),SE 64 (2001) REE 103 (tav. LI),Dominique Briquel,Proprietary Texts,Origin Unknown (South),-700,-480,mi venelus,,
ETP 271,fragment of cup (bucchero),SE 64 (2001) REE 100 (tav. LI),Giovanni Colonna,Proprietary Texts,Campania (Eboli),-500,-500,mi mutilates,The inscription was incised in dextroverse direction.,
ETP 272,cup (ceramic),SE 64 (2001) REE 104 (tav. LI),Dominique Briquel,Proprietary Texts,Origin Unknown (South),-480,50,θenus,,
ETP 273,amphora (ceramic),SE 64 (2001) REE 105 (tav. LI),Dominique Briquel,Proprietary Texts,Origin Unknown (South),-700,-480,mi tarnaial,,
ETP 274,cinerary urn (ceramic),SE 64 (2001) REE 108 (tav. LII),Dominique Briquel,Funerary Texts,Origin Unknown (North),-200,-0,laris : almni : larθ[al],The inscription was painted in red letters along the upper border of the cask. The urn is a type common at Chiusi.,
ETP 275,cinerary urn (ceramic),SE 64 (2001) REE 112 (tav. LII),Dominique Briquel,Funerary Texts,Origin Unknown (North),-480,50,vel · cae ·,"The inscription was painted in black letters along the upper border of the cask. Single punctuation points are visible, but their elevated position suggests that they were originally double points ( <b>: </b>).",
ETP 276,cinerary urn (ceramic),SE 64 (2001) REE 112 (tav. LII),Dominique Briquel,Funerary Texts,Origin Unknown (North),-480,50,f [ . ]a[ . ]nei : tut[<i>vacat</i>]nali[iσa],The inscription was painted in red letters along the upper border of the cask. The urn is a type common at Chiusi. The feminine gentilicium could be restored as <b>f[r]a[u]nei</b>.,
ETP 277,cinerary urn (ceramic),SE 64 (2001) REE 113 (tav. LII),Dominique Briquel,Funerary Texts,Origin Unknown (North),-480,50,larθi : vi[p]inei : tutn[a]σa,The inscription was painted in red letters along the border of the cask. The urn is a type common at Chiusi.,
ETP 278,cinerary urn (terracotta),SE 64 (2001) REE 114 (tav. LII),Dominique Briquel,Funerary Texts,Origin Unknown (North),-480,50,θana [ – – – ],The inscription was painted in black letters along the border of the cask. The urn is a type common at Chiusi.,
ETP 279,statue (bronze),SE 64 (2001) REE 115 (tav. LIII),Koen Wylin,Dedications,Origin Unknown (North),-200,-100,"au · ceisina · la eiser
    as · θuflθas · 
    turce",The final /s/ of <b>eiseras</b> is written with <i>tsade</i>,
ETP 280,cippus (nenfro),SE 64 (2001) REE 126,Massimo Morandi,Funerary Texts,Tarquinia,-480,50,cusinas · larθal,,
ETP 281,cippus (nenfro),SE 64 (2001) REE 127,Massimo Morandi,Funerary Texts,Tarquinia,-480,50,"heiri · ra
    mθa · a
    r",,
ETP 282,cover of ziro (travertine),SE 64 (2001) 213-224 (tav. XXXVa),Enrico Benelli,Abecedaria,Ager Chiusinus (Chianciano Terme),-500,-500,a c e v z h,The <i>abecdedarium</i> was inscribed in sinistroverse direction.,"<ul>
<li>
Benelli, Enrico. 2001. Quattro nuove iscrizioni etrusche arcaiche. <i>SE</i> 64.213-214.</li>
</ul>"
ETP 283,small cinerary urn (stone),SE 64 (2001) 213-224 (tav. XXXVb),Enrico Benelli,Abecedaria,Ager Chiusinus (Chianciano Terme),-500,-500,a e v z h θ,,"<ul>
<li>
Benelli, Enrico. 2001. Quattro nuove iscrizioni etrusche arcaiche. <i>SE</i> 64.213-214.</li>
</ul>"
ETP 284,double vase (bucchero),SE 58 (1993) 173-176 (tav. LVI),Marina Martelli,Dedications,Volaterrae (Colle Val d'Elsa),-600,-600,mini muluvunike pisna perkena,,"<ul>
<li>
Martelli, Marina. 1993. Un nuovo testo etrusco di dono. <i>SE</i> 58.173-176.</li>
</ul>"
ETP 285,wall of tomb (stone),SE 64 (2001) 213-224 (tav. XXXVg),Enrico Benelli,Prohibitions,Ager Chiusinus,-500,-400,ein θui ara enan,<i>Theta</i> has the form of a cross <b>X</b>.,"<ul>
<li>
Benelli, Enrico. 2001. Quattro nuove iscrizioni etrusche arcaiche. <i>SE</i> 64.213-214.</li>
</ul>"
ETP 286,cippus (stone),Archaeologia perusina 15 (2001) 129-139 (tav. XIX),Luciano Agostiniani - Mario Torelli,Boundary Markers,Cortona,-200,-150,"luθcval
    canθiσa
    l",,"<ul>
<li>
Agostiniani, Luciano &amp;amp; Mario Torelli. 2001. Un cippo confinario etrusco da Cortona. <i>Archaeologia perusina</i> 15.129-139.</li>
</ul>"
ETP 287,cippus (stone),SE 57 (1991) REE 35 (tav. XLVI),Pietro Tamburini,Funerary Texts,Volsinii,-200,-100,σ : cemnil : v,"Feminine genitive singulars ending in plain <b>-l</b> are rare. The editor proposes two ways to emend: (1) Expunge the final <b>-l</b>, in which case the onomastic phrase has zero inflection. At Volsinii onomastic phrases in funerary texts are typically rendered in casus zero. (2) Emend the genitive form to <b>-(a)l</b> and read as <b>cemni(a)l</b>.",
ETP 288,architrave (stone),SE 57 (1991) REE 36,Alessandro Naso,Funerary Texts,Tuscania,-700,-480,s [ . . ]vus,,
ETP 289,fragment of plate (ceramic),SE 57 (1991) REE 45 (tav. L),Mauro Cristofani,Proprietary Texts,Caere,-700,-650,mi hvlaves : spati,Both <i>sigmas</i> were written with five strokes.,
ETP 290,fragment of chalice (ceramic),SE 57 (1991) REE 46 (tav. L),Mauro Cristofani,Proprietary Texts,Caere,-650,-650,[mi r]amuθas,<i>Sigma</i> was written with four bars.,
ETP 291,plate (ceramic),SE 57 (1991) REE 49,Mauro Cristofani,Proprietary Texts,Campania (Fratte di Salerno),-500,-500,pe,The letters <b>pe</b> were incised beneath the last two letters of inscription (a).,
ETP 292,Attic kylix (ceramic),SE 57 (1991) REE 51,Marina Martelli,Proprietary Texts,Unknown (South),-480,-480,mi klutias,,
ETP 293,Attic amphora (ceramic),SE 57 (1991) REE 52,Marina Martelli,Other/Unclear Texts,Unknown (South),-480,-470,χeχe[n]ar,,
ETP 294,thymiaterion (bronze),SE 57 (1991) REE 53 (tav. LI),Marina Martelli,Funerary Texts,Unknown (South),-400,-380,σuθina,Inscription (a) was incised vertically along the trunk; (b) was incised within the incense holder. Both were written in sinistroverse direction.,
ETP 295,cup (ceramic),SE 60 (1995) REE 1 (tav. XXXV),Stefano Bruni,Proprietary Texts,Pisae,-550,-525,mi aranθial,,
ETP 296,fragment of cup (bucchero),SE 60 (1995) REE 2 (tav. XXXV),Stefano Bruni,Other/Unclear Texts,Pisae,-625,-550,[ – – – ]xeai,,
ETP 297,fragment of cup (bucchero),SE 60 (1995) REE 3 (tav. XXXV),Stefano Bruni,Proprietary Texts,Pisae,-550,-550,uri,,
ETP 298,cover of urn (alabaster),SE 60 (1995) REE 9 (tav. XXXVI),Maurizio Sannibale,Funerary Texts,Volaterrae,-150,-100,x[  – – – ]xxxxx(x)nal,,
ETP 299,cinerary urn (terracotta),SE 60 (1995) REE 11 (tav. XXXVI),Maurizio Sannibale,Funerary Texts,Ager Chiusinus,-200,-150,la,,
ETP 300,cinerary urn (terracotta),SE 60 (1995) REE 12 (tav. XXXVII),Maurizio Sannibale,Funerary Texts,Ager Chiusinus,-200,-150,la[ – – –]xza[ – – – ],,
ETP 301,cinerary urn (terracotta),SE 60 (1995) REE 13 (tav. XXXVII),Maurizio Sannibale,Funerary Texts,Ager Chiusinus,-150,-100,xx [<i>vacat</i>] a[ – – –] ax : pet[<i>vacat</i>]runial,,
ETP 302,fragment of vase (ceramic),SE 60 (1995) REE 18 (tav. XXXIX),Maristella Pandolfini,Proprietary Texts,Tarquinia,-300,-200,[ – – – ]x cluetieṣ [ – – – ],,
ETP 303,fibula (gold),SE 60 (1995) REE 19 (tav. XL-XLI-XLIII),Francesco Buranelli,Dedications,Unknown (South),-630,-630,mi mulu araθiale θanaχvilus prasanaia,,
ETP 304,strigile (bronze),SE 60 (1995) REE 20 (tav. XXXIX),Helmut Rix,Artisans' Texts,Unknown,-350,-250,men tite,The text was stamped on the handle of the strigile. The letters run in dextroverse direction.,
ETP 305,fragment of bowl (ceramic),SE 60 (1995) REE 21 (tav. XXXIX),Helmut Rix,Proprietary Texts,Unknown,-480,50,[ – – – ]iana ram[θa – – – ],,
ETP 306,copy (manuscript),SE 60 (1995) REE 22 (tav. XXXIX),Adriano Maggiani,Funerary Texts,Unknown (North),-400,-300,mi fastial vestrknal,,
ETP 307,tegola (terracotta),SE 60 (1995) REE 32 (tav. XLVI),Maurizio Sannibale,Other/Unclear Texts,Ager Chiusinus,-200,-150,rau ur : ve,Punctuation is in the form of two small <b>x</b>s.,
ETP 308,fragment of plate (ceramic),SE 60 (1995) 38,Adriano Maggiani,Proprietary Texts,Chiusi,-480,50,la cae,The text was stamped on the ceramic.,
